Disciplina;NivelDisciplina;NomeDisciplina;TipoDisciplina;UnidadeDptoResponsavel;TipoAprovacao;Catacteristica;AnoCriacao;Oferecimento;TipoPeriodoOferecimento;UltimoAnoOferecimento;PercentualFrequenciaParaAprova
AC001;G;Laboratório de  Prática Teatral:  Inter-pretação                                ;0;1701;N;0;2002;6;S;2015;75
AC002;G;Laboratório de Prática Teatral: Direção                                         ;0;1701;N;0;2002;6;S;2015;75
AC003;G;Laboratório de  Prática Teatral:  Drama-turgia                                  ;0;1701;N;0;2002;6;S;2015;75
AC004;G;Laboratório de Prática Teatral: Cenogra-fia e Figurino                          ;0;1701;N;0;2002;6;S;2015;75
AC005;G;Treinamento em Práticas Circenses I                                             ;0;1701;N;0;2002;1;S;2012;75
AC006;G;Treinamento em Práticas Circenses II                                            ;0;1701;N;0;2002;2;S;2012;75
AC007;G;Laboratório de Práticas Corporais I                                             ;0;1701;N;0;2003;1;S;2012;75
AC008;G;Laboratório de Práticas Vocais I                                                ;0;1701;N;0;2003;1;S;2012;75
AC009;G;Laboratório de Práticas Corporais II                                            ;0;1701;N;0;2003;2;S;2012;75
AC010;G;Laboratório de Práticas Vocais II                                               ;0;1701;N;0;2003;2;S;2012;75
AC011;G;Laboratório de Práticas Corporais III                                           ;0;1701;N;0;2003;1;S;2012;75
AC012;G;Laboratório de Práticas Vocais III                                              ;0;1701;N;0;2003;1;S;2012;75
AC021;G;Estágio Orientado                                                               ;0;1701;N;14;2003;5;S;2007;75
AC101;G;História do Teatro: Estudo do Teatro no Brasil I                                ;0;1701;N;0;1985;1;S;2000;75
AC102;G;Estética e História das  Artes: Teatro  Ocidental I                             ;0;1701;N;0;1985;1;S;2000;75
AC103;G;Psicologia: Role-Playing I                                                      ;0;1701;N;0;1985;1;S;2000;75
AC104;G;Fundamentos da Expressão e  Comunicação Humanas: Introdução ao Teatro I         ;0;1701;N;0;1985;1;S;2002;75
AC105;G;Canto para o Ator I                                                             ;0;1701;N;0;1985;6;S;2015;75
AC106;G;Dança: Música e Ritmo I                                                         ;0;1701;N;0;1985;1;S;2000;75
AC107;G;Improvisação I                                                                  ;0;1701;N;0;1985;1;S;2000;75
AC109;G;Música e Ritmo I                                                                ;0;1701;N;0;2001;1;S;2015;75
AC110;G;Improvisação Teatral                                                            ;0;1701;N;0;2013;1;S;2015;75
AC112;G;Técnicas Circenses I                                                            ;0;1701;N;0;2002;6;S;2015;75
AC113;G;Formas Espetaculares no Ocidente                                                ;0;1701;N;0;2001;1;S;2015;75
AC119;G;Filosofia e História da Arte                                                    ;0;1701;N;0;2001;1;S;2009;75
AC120;G;Tópicos em Estética Teatral                                                     ;0;1701;N;0;2010;1;S;2015;75
AC121;G;Práticas de Ação Teatral na Comunidade  I                                       ;0;1701;N;0;2008;2;S;2015;75
AC128;G;História do Teatro: Formas Espetaculares no Brasil I                            ;0;1701;N;0;2001;1;S;2012;75
AC129;G;Formas Espetaculares e  Cultura Popular Brasileira I                            ;0;1701;N;0;2013;1;S;2015;75
AC141;G;Técnicas Corpóreas: Introdução I                                                ;0;1701;F;1;1994;1;S;2000;75
AC142;G;Técnicas Corpóreas: Dança I                                                     ;0;1701;N;1;1994;1;S;2015;75
AC143;G;Técnicas Corpóreas: Luta I                                                      ;0;1701;N;0;2001;6;S;2015;75
AC145;G;Expressão Corporal I                                                            ;0;1701;N;0;2010;1;S;2015;75
AC148;G;Elementos Técnicos do Corpo I                                                   ;0;1701;N;0;2001;1;S;2015;75
AC150;G;Improvisação: O Jogo I                                                          ;0;1701;N;0;2001;2;S;2015;75
AC151;G;Expressão Vocal: Técnica I                                                      ;0;1701;N;1;1994;6;S;2012;75
AC152;G;Expressão Vocal: Interpretação I                                                ;0;1701;N;0;1998;1;S;2015;75
AC160;G;Tópicos em Prática de Encenação                                                 ;0;1701;N;1;1994;6;S;2015;75
AC170;G;Improvisação: O Silêncio I                                                      ;0;1701;N;0;2001;2;S;2015;75
AC180;G;Improvisação: A Palavra I                                                       ;0;1701;N;0;2001;2;S;2015;75
AC201;G;Estudos do Teatro no Brasil II                                                  ;0;1701;N;0;1985;2;S;2000;75
AC202;G;História do Teatro Ocidental II                                                 ;0;1701;N;0;1985;2;S;2000;75
AC203;G;Psicologia: Role-Playing II                                                     ;0;1701;N;0;1985;2;S;2000;75
AC205;G;Canto para o Ator II                                                            ;0;1701;N;0;1985;6;S;2015;75
AC206;G;Dança: Música e Ritmo II                                                        ;0;1701;N;0;1985;2;S;2000;75
AC207;G;Improvisação II                                                                 ;0;1701;N;0;1985;2;S;2000;75
AC208;G;Máscara                                                                         ;0;1701;N;0;1985;2;S;2000;75
AC209;G;Música e Ritmo II                                                               ;0;1701;N;0;2001;2;S;2015;75
AC212;G;Técnicas Circenses II                                                           ;0;1701;N;0;2002;6;S;2015;75
AC213;G;Formas Espetaculares no Oriente                                                 ;0;1701;N;0;2001;2;S;2015;75
AC218;G;Máscara: Elementos Técnicos de Artes Vi-suais I                                 ;0;1701;N;0;2001;2;S;2015;75
AC219;G;Estética Teatral: Dramaturgia Moderna e Contemporânea                           ;0;1701;N;0;2001;2;S;2015;75
AC221;G;Práticas de Ação Teatral na Comunidade  II                                      ;0;1701;N;0;2011;6;S;2015;75
AC228;G;Estudos do Teatro no Brasil: Formas Es- petaculares no Brasil II                ;0;1701;N;0;2001;6;S;2012;75
AC229;G;Formas Espetaculares  e Cultura Popular Brasileira II                           ;0;1701;N;0;2013;2;S;2015;75
AC241;G;Técnicas Corpóreas: Introdução II                                               ;0;1701;F;1;1993;2;S;2000;75
AC242;G;Técnicas Corpóreas: Dança II                                                    ;0;1701;N;1;1993;2;S;2015;75
AC243;G;Técnicas Corpóreas: Luta II                                                     ;0;1701;N;0;2001;6;S;2015;75
AC245;G;Expressão Corporal II                                                           ;0;1701;N;0;2010;2;S;2015;75
AC248;G;Elementos Técnicos do Corpo II                                                  ;0;1701;N;0;2001;2;S;2015;75
AC250;G;Improvisação: O Jogo II                                                         ;0;1701;N;0;2001;2;S;2015;75
AC251;G;Expressão Vocal: Técnica II                                                     ;0;1701;N;1;1993;6;S;2012;75
AC252;G;Expressão Vocal: Interpretação II                                               ;0;1701;N;0;1998;2;S;2015;75
AC260;G;Tópicos em Prática de Encenação                                                 ;0;1701;N;1;1993;6;S;2015;75
AC270;G;Improvisação: O Silêncio II                                                     ;0;1701;N;0;2001;6;S;2015;75
AC280;G;Improvisação: A Palavra II                                                      ;0;1701;N;0;2001;6;S;2015;75
AC301;G;Estudos do Teatro no Brasil III                                                 ;0;1701;N;0;1985;1;S;2001;75
AC302;G;História do Teatro Ocidental III                                                ;0;1701;N;0;1985;1;S;2001;75
AC304;G;Fundamentos da Expressão e Comunicação  Humanas - Introdução ao Teatro II       ;0;1701;N;0;1986;1;S;1990;75
AC305;G;Palavra e Ação I                                                                ;0;1701;N;0;2013;1;S;2015;75
AC307;G;Improvisação III                                                                ;0;1701;N;0;1985;1;S;2001;75
AC309;G;Interpretação I                                                                 ;0;1701;N;0;1985;1;S;2001;75
AC310;G;Dança: Folclore Brasileiro I                                                    ;0;1701;N;0;1985;1;S;2015;75
AC311;G;Expressão Vocal I                                                               ;0;1701;N;0;1985;1;S;2015;75
AC313;G;Formas do Teatro Cômico no Brasil                                               ;0;1701;N;0;2002;1;S;2010;75
AC314;G;Formas do Teatro Dramático no Brasil                                            ;0;1701;N;0;2002;1;S;2010;75
AC315;G;Teatro Brasileiro I                                                             ;0;1701;N;0;2011;1;S;2015;75
AC316;G;Estudos de Dramaturgia                                                          ;0;1701;N;0;2011;2;S;2015;75
AC317;G;Estudos de Cenografia e Figurino                                                ;0;1701;N;0;2011;1;S;2015;75
AC318;G;Estudos de Direção Teatral                                                      ;0;1701;N;0;2011;2;S;2015;75
AC319;G;Formas do Teatro Trágico no Ocidente                                            ;0;1701;N;0;2002;2;S;2015;75
AC320;G;Formas do Teatro Cômico no Ocidente                                             ;0;1701;N;0;2002;1;S;2015;75
AC321;G;Produção Teatral                                                                ;0;1701;N;0;2011;1;S;2015;75
AC325;G;Danças do Brasil I                                                              ;0;1701;N;0;2014;6;S;2015;75
AC330;G;Interpretação: A Gramática da Ação Físi-ca I                                    ;0;1701;N;0;2002;1;S;2009;75
AC340;G;Princípios da Ação Cênica                                                       ;0;1701;N;0;2010;1;S;2015;75
AC350;G;Análise de Dramaturgia                                                          ;0;1701;N;0;2012;6;S;2015;75
AC351;G;Expressão Vocal: Técnica III                                                    ;0;1701;F;1;1994;6;S;2012;75
AC352;G;Expressão Vocal: Interpretação I                                                ;0;1701;N;1;1995;6;S;1995;75
AC353;G;Voz, Expressão e Representação I                                                ;0;1701;N;0;2005;1;S;2012;75
AC360;G;Tópicos em Prática de Encenação                                                 ;0;1701;N;1;1994;6;S;2015;75
AC370;G;Introdução à Pesquisa: Projetos                                                 ;0;1701;N;0;2013;6;S;2015;75
AC401;G;Estudos do Teatro no Brasil IV                                                  ;0;1701;N;0;1985;2;S;2001;75
AC402;G;História do Teatro Ocidental IV                                                 ;0;1701;N;0;1985;2;S;2001;75
AC405;G;Palavra e Ação II                                                               ;0;1701;N;0;2013;2;S;2015;75
AC407;G;Improvisação IV                                                                 ;0;1701;N;0;1985;2;S;2001;75
AC409;G;Interpretação II                                                                ;0;1701;N;0;1985;2;S;2001;75
AC410;G;Dança: Folclore Brasileiro II                                                   ;0;1701;N;0;1985;2;S;2015;75
AC411;G;Expressão Vocal II                                                              ;0;1701;N;0;1985;2;S;2015;75
AC412;G;Técnicas Circenses I                                                            ;0;1701;N;0;1985;1;S;2001;75
AC413;G;Formas Épicas do Teatro Brasileiro                                              ;0;1701;N;0;2002;2;S;2010;75
AC415;G;Teatro Brasileiro II                                                            ;0;1701;N;0;2011;2;S;2015;75
AC420;G;Formas do Teatro Dramático e Derivações                                         ;0;1701;N;0;2002;1;S;2015;75
AC425;G;Danças do Brasil II                                                             ;0;1701;N;0;2014;6;S;2015;75
AC430;G;Interpretação:  A Gramática da Ação  Fí-sica II                                 ;0;1701;N;0;2002;2;S;2009;75
AC440;G;Linguagem da Ação Cênica                                                        ;0;1701;N;0;2010;2;S;2015;75
AC451;G;Expressão Vocal: Técnica IV                                                     ;0;1701;F;1;1993;6;S;2012;75
AC452;G;Expressão Vocal: Interpretação II                                               ;0;1701;N;1;1995;6;S;1995;75
AC453;G;Voz, Expressão e Representação II                                               ;0;1701;N;0;2005;2;S;2012;75
AC460;G;Tópicos em Práticas de Encenação                                                ;0;1701;N;1;1993;6;S;2015;75
AC501;G;Estudos do Teatro no Brasil V                                                   ;0;1701;N;0;1985;1;S;2012;75
AC502;G;História do Teatro Ocidental V                                                  ;0;1701;N;0;1985;1;S;2012;75
AC509;G;Interpretação III                                                               ;0;1701;N;0;1985;1;S;2012;75
AC511;G;Expressão Vocal III                                                             ;0;1701;N;0;1985;1;S;2015;75
