Catalogo;Curso;NivelCurso;CodigoBloco;No.CreditosBloco;Disciplina;NivelDisciplina
1967;4;G;1;1;F 641;G
1967;4;G;1;1;F 7--;
1967;4;G;1;1;MA723;G
1967;4;G;2;1;F 8--;
1967;4;G;3;22;F----;
1967;5;G;1;1;-----;
1967;5;G;1;1;TA621;G
1967;5;G;1;1;TA713;G
1967;5;G;1;1;TA813;G
1967;5;G;1;1;TA822;G
1967;5;G;2;1;-----;
1967;5;G;2;1;TA621;G
1967;5;G;2;1;TA713;G
1967;5;G;2;1;TA813;G
1967;5;G;2;1;TA822;G
1967;5;G;3;1;-----;
1967;5;G;3;1;TA621;G
1967;5;G;3;1;TA713;G
1967;5;G;3;1;TA813;G
1967;5;G;3;1;TA822;G
1967;5;G;4;1;-----;
1967;5;G;4;1;TA621;G
1967;5;G;4;1;TA713;G
1967;5;G;4;1;TA813;G
1967;5;G;4;1;TA822;G
1967;10;G;1;9;EM902;G
1967;10;G;1;9;EM905;G
1967;10;G;1;9;EM912;G
1967;10;G;1;9;EM922;G
1968;4;G;1;1;F 641;G
1968;4;G;1;1;F 7--;
1968;4;G;1;1;MA723;G
1968;4;G;2;1;F 8--;
1968;4;G;3;22;F----;
1968;5;G;1;8;Q 721;G
1968;5;G;1;8;Q 741;G
1968;5;G;1;8;Q 812;G
1968;5;G;1;8;Q 831;G
1968;5;G;1;8;QA813;G
1968;5;G;1;8;QF831;G
1968;5;G;1;8;QO621;G
1968;5;G;2;8;-----;
1968;5;G;2;8;Q 721;G
1968;5;G;2;8;Q 741;G
1968;5;G;2;8;Q 812;G
1968;5;G;2;8;Q 831;G
1968;5;G;2;8;QA813;G
1968;5;G;2;8;QF831;G
1968;5;G;2;8;QO621;G
1968;10;G;1;2;EM---;
1968;10;G;2;1;-----;
1968;10;G;2;1;EH---;
1968;10;G;2;1;EM---;
1968;10;G;3;1;-----;
1968;10;G;3;1;EH---;
1968;10;G;3;1;EM---;
1969;4;G;1;1;F 641;G
1969;4;G;1;1;F 7--;
1969;4;G;1;1;MA723;G
1969;4;G;2;1;F 8--;
1969;4;G;3;22;F----;
1969;5;G;1;8;Q 721;G
1969;5;G;1;8;Q 741;G
1969;5;G;1;8;Q 812;G
1969;5;G;1;8;Q 831;G
1969;5;G;1;8;QA813;G
1969;5;G;1;8;QF831;G
1969;5;G;1;8;QO621;G
1969;5;G;2;8;-----;
1969;5;G;2;8;Q 721;G
1969;5;G;2;8;Q 741;G
1969;5;G;2;8;Q 812;G
1969;5;G;2;8;Q 831;G
1969;5;G;2;8;QA813;G
1969;5;G;2;8;QF831;G
1969;5;G;2;8;QO621;G
1969;10;G;1;2;EM---;
1969;10;G;2;1;-----;
1969;10;G;2;1;EH---;
1969;10;G;2;1;EM---;
1969;10;G;3;1;-----;
1969;10;G;3;1;EH---;
1969;10;G;3;1;EM---;
1969;10;G;4;1;-----;
1969;10;G;4;1;EH---;
1969;10;G;4;1;EM---;
1970;2;G;1;14;-----;
1970;2;G;1;14;B 202;G
1970;2;G;1;14;F 101;G
1970;2;G;1;14;F 102;G
1970;2;G;1;14;F 201;G
1970;2;G;1;14;F 202;G
1970;2;G;1;14;F 301;G
1970;2;G;1;14;F 302;G
1970;2;G;1;14;F 401;G
1970;2;G;1;14;F 402;G
1970;2;G;1;14;H 201;G
1970;2;G;1;14;HE438;G
1970;2;G;1;14;ME701;G
1970;2;G;1;14;ME702;G
1970;2;G;1;14;ME731;G
1970;2;G;1;14;ME831;G
1970;2;G;1;14;ME841;G
1970;3;G;1;12;EA770;G
1970;3;G;1;12;F 301;G
1970;3;G;1;12;F 302;G
1970;3;G;1;12;F 401;G
1970;3;G;1;12;F 402;G
1970;3;G;1;12;HE231;G
1970;3;G;1;12;HE739;G
1970;3;G;1;12;HE839;G
1970;3;G;1;12;HL112;G
1970;3;G;1;12;HL212;G
1970;3;G;1;12;MC212;G
1970;3;G;1;12;MC571;G
1970;3;G;2;15;-----;
1970;4;G;1;1;F 641;G
1970;4;G;1;1;F 7--;
1970;4;G;1;1;MA723;G
1970;4;G;2;1;F 8--;
1970;4;G;3;22;F----;
1970;5;G;1;8;Q 721;G
1970;5;G;1;8;Q 741;G
1970;5;G;1;8;Q 812;G
1970;5;G;1;8;Q 831;G
1970;5;G;1;8;QA813;G
1970;5;G;1;8;QF831;G
1970;5;G;1;8;QO621;G
1970;5;G;2;8;-----;
1970;5;G;2;8;Q 721;G
1970;5;G;2;8;Q 741;G
1970;5;G;2;8;Q 812;G
1970;5;G;2;8;Q 831;G
1970;5;G;2;8;QA813;G
1970;5;G;2;8;QF831;G
1970;5;G;2;8;QO621;G
1970;10;G;1;2;EM---;
1970;10;G;2;1;-----;
1970;10;G;2;1;EH---;
