Catalogo;Curso;NivelCurso;Disciplina
1961;14;G;DB002
1961;14;G;DB003
1961;14;G;DB100
1961;14;G;DB112
1961;14;G;DB200
1961;14;G;DD100
1961;14;G;DD200
1961;14;G;DD300
1961;14;G;DD400
1961;14;G;DF100
1961;14;G;DF200
1961;14;G;DI001
1961;14;G;DI002
1961;14;G;DI003
1961;14;G;DI004
1961;14;G;DI100
1961;14;G;DO002
1961;14;G;DO003
1961;14;G;DO004
1961;14;G;DO021
1961;14;G;DO022
1961;14;G;DO030
1961;14;G;DO041
1961;14;G;DO051
1961;14;G;DO052
1961;14;G;DO100
1961;14;G;DO200
1961;14;G;DP001
1961;14;G;DP002
1961;14;G;DP031
1961;14;G;DP200
1961;14;G;DP300
1961;14;G;DP400
1961;14;G;DS001
1961;14;G;DS002
1961;14;G;DS021
1963;15;G;MD511
1964;15;G;MD511
1965;15;G;MD511
1966;15;G;MD511
1967;1;G;B 201
1967;1;G;BC603
1967;1;G;EM212
1967;1;G;F 101
1967;1;G;F 102
1967;1;G;F 201
1967;1;G;F 202
1967;1;G;F 301
1967;1;G;F 302
1967;1;G;F 311
1967;1;G;F 401
1967;1;G;F 402
1967;1;G;F 411
1967;1;G;H 201
1967;1;G;M 631
1967;1;G;M 701
1967;1;G;M 703
1967;1;G;M 704
1967;1;G;M 705
1967;1;G;MA101
1967;1;G;MA141
1967;1;G;MA142
1967;1;G;MA201
1967;1;G;MA241
1967;1;G;MA301
1967;1;G;MA325
1967;1;G;MA401
1967;1;G;MA411
1967;1;G;MA501
1967;1;G;MA502
1967;1;G;MA599
1967;1;G;MA601
1967;1;G;MA602
1967;1;G;MA604
1967;1;G;MA651
1967;1;G;MA699
1967;1;G;MA702
1967;1;G;MA733
1967;1;G;MA751
1967;1;G;MA806
1967;1;G;MA807
1967;1;G;MA831
1967;1;G;MA833
1967;1;G;MC111
1967;1;G;ME203
1967;1;G;ME491
1967;1;G;MS211
1967;1;G;PB701
1967;1;G;PB801
1967;1;G;Q 101
1967;1;G;Q 102
1967;1;G;Q 201
1967;1;G;Q 202
1967;4;G;F 101
1967;4;G;F 102
1967;4;G;F 201
1967;4;G;F 202
1967;4;G;F 301
1967;4;G;F 302
1967;4;G;F 311
1967;4;G;F 401
1967;4;G;F 402
1967;4;G;F 411
1967;4;G;F 502
1967;4;G;F 531
1967;4;G;F 552
1967;4;G;F 631
1967;4;G;F 662
1967;4;G;F 809
1967;4;G;MA101
1967;4;G;MA141
1967;4;G;MA201
1967;4;G;MA221
1967;4;G;MA301
1967;4;G;MA303
1967;4;G;MA325
1967;4;G;MA401
1967;4;G;MA501
1967;4;G;MA601
1967;4;G;MC111
1967;4;G;MS211
1967;4;G;PB701
1967;4;G;PB801
1967;4;G;Q 101
1967;4;G;Q 102
1967;4;G;Q 201
1967;4;G;Q 202
1967;5;G;BB813
1967;5;G;F 101
1967;5;G;F 102
1967;5;G;F 201
1967;5;G;F 202
1967;5;G;F 301
1967;5;G;F 302
1967;5;G;F 401
1967;5;G;F 402
1967;5;G;H 201
1967;5;G;MA101
1967;5;G;MA141
1967;5;G;MA201
1967;5;G;MA302
1967;5;G;MC111
1967;5;G;PB701
1967;5;G;PB801
1967;5;G;Q 101
1967;5;G;Q 102
1967;5;G;Q 201
1967;5;G;Q 202
1967;5;G;Q 311
1967;5;G;Q 312
1967;5;G;Q 321
1967;5;G;Q 331
1967;5;G;Q 411
1967;5;G;Q 412
1967;5;G;Q 421
1967;5;G;Q 431
1967;5;G;Q 511
1967;5;G;Q 512
1967;5;G;Q 521
1967;5;G;Q 531
1967;5;G;Q 541
1967;5;G;Q 549
1967;5;G;Q 552
1967;5;G;Q 611
1967;5;G;Q 612
1967;5;G;Q 621
1967;5;G;Q 631
1967;5;G;Q 641
1967;5;G;Q 642
1967;5;G;Q 711
1967;5;G;Q 752
1967;5;G;Q 761
1967;5;G;Q 861
1967;10;G;B 201
1967;10;G;EE781
1967;10;G;EH422
1967;10;G;EH510
1967;10;G;EH610
1967;10;G;EH620
1967;10;G;EH631
1967;10;G;EH720
1967;10;G;EH741
1967;10;G;EH744
1967;10;G;EH810
1967;10;G;EH841
1967;10;G;EH910
1967;10;G;EM002
1967;10;G;EM012
1967;10;G;EM051
1967;10;G;EM310
1967;10;G;EM330
1967;10;G;EM410
1967;10;G;EM421
1967;10;G;EM430
1967;10;G;EM523
1967;10;G;EM525
1967;10;G;EM530
1967;10;G;EM540
