Catalogo;Curso;NivelCurso;Habilitacao;Disciplina;NivelDisciplina
1967;1;G;AA;MA561;G
1967;1;G;AB;DE505;G
1967;1;G;AB;EL530;G
1967;1;G;AB;EL640;G
1967;1;G;AB;EL750;G
1967;1;G;AB;EL765;G
1967;1;G;AB;EL875;G
1967;1;G;AB;FE401;G
1967;1;G;AB;MA361;G
1967;1;G;AB;MA461;G
1967;1;G;AB;MA561;G
1967;1;G;AB;MA661;G
1967;4;G;AB;DE506;G
1967;4;G;AB;EL300;G
1967;4;G;AB;EL530;G
1967;4;G;AB;EL640;G
1967;4;G;AB;EL750;G
1967;4;G;AB;EL763;G
1967;4;G;AB;EL873;G
1967;4;G;AB;FE401;G
1967;5;G;AB;DE507;G
1967;5;G;AB;EL300;G
1967;5;G;AB;EL410;G
1967;5;G;AB;EL520;G
1967;5;G;AB;EL530;G
1967;5;G;AB;EL640;G
1967;5;G;AB;EL750;G
1967;5;G;AB;FE401;G
1967;5;G;AF;EL300;G
1968;1;G;AA;MA561;G
1968;1;G;AA;MA661;G
1968;1;G;AB;DE505;G
1968;1;G;AB;EL530;G
1968;1;G;AB;EL640;G
1968;1;G;AB;EL750;G
1968;1;G;AB;EL765;G
1968;1;G;AB;EL875;G
1968;1;G;AB;FE401;G
1968;1;G;AB;MA361;G
1968;1;G;AB;MA461;G
1968;1;G;AB;MA561;G
1968;1;G;AB;MA661;G
1968;4;G;AB;DE506;G
1968;4;G;AB;EL300;G
1968;4;G;AB;EL530;G
1968;4;G;AB;EL640;G
1968;4;G;AB;EL750;G
1968;4;G;AB;EL763;G
1968;4;G;AB;EL873;G
1968;4;G;AB;FE401;G
1968;5;G;AB;DE507;G
1968;5;G;AB;EL300;G
1968;5;G;AB;EL410;G
1968;5;G;AB;EL520;G
1968;5;G;AB;EL530;G
1968;5;G;AB;EL640;G
1968;5;G;AB;EL750;G
1968;5;G;AB;EL877;G
1968;5;G;AB;FE401;G
1968;5;G;AF;EL300;G
1969;1;G;AA;MA561;G
1969;1;G;AA;MA661;G
1969;1;G;AB;DE505;G
1969;1;G;AB;EL530;G
1969;1;G;AB;EL640;G
1969;1;G;AB;EL750;G
1969;1;G;AB;EL765;G
1969;1;G;AB;EL875;G
1969;1;G;AB;FE401;G
1969;1;G;AB;MA361;G
1969;1;G;AB;MA461;G
1969;1;G;AB;MA561;G
1969;1;G;AB;MA661;G
1969;4;G;AB;DE506;G
1969;4;G;AB;EL300;G
1969;4;G;AB;EL520;G
1969;4;G;AB;EL530;G
1969;4;G;AB;EL640;G
1969;4;G;AB;EL750;G
1969;4;G;AB;EL763;G
1969;4;G;AB;EL873;G
1969;4;G;AB;FE401;G
1969;4;G;AE;EL304;G
1969;5;G;AB;DE507;G
1969;5;G;AB;EL300;G
1969;5;G;AB;EL410;G
1969;5;G;AB;EL520;G
1969;5;G;AB;EL530;G
1969;5;G;AB;EL640;G
1969;5;G;AB;EL750;G
1969;5;G;AB;FE401;G
1969;5;G;AF;EL300;G
1969;11;G;AA;EA042;G
1969;11;G;AA;EA820;G
1969;11;G;AA;EE720;G
1969;11;G;AA;EE825;G
1969;11;G;AA;EE855;G
1969;11;G;AA;EE880;G
