Catalogo;Curso;NivelCurso;NomeCurso;LimiteMaximoCreditos;LimiteMinimoCreditos;LimiteMinimoCreditosEquacao;NumCreditosParaUsarEquacao;CoeficienteAplicadoCR;CRMedioTurma;TotalAlunosTrrma;DesvioPadrao
1961;14;G;Odontologia                                                                                                                                                     ;99;0;0;0;0,00;0,0000;1;
1963;15;G;Medicina                                                                                                                                                        ;0;0;0;0;0,00;0,7031;43;0,0509
1964;15;G;Medicina                                                                                                                                                        ;0;0;0;0;0,00;0,6949;60;0,0546
1965;15;G;Medicina                                                                                                                                                        ;0;0;0;0;0,00;0,7501;64;0,0534
1966;15;G;Medicina                                                                                                                                                        ;0;0;0;0;0,00;0,7314;74;0,0731
1967;1;G;Matemática                                                                                                                                                      ;30;0;0;0;0,00;0,7581;2;0,0600
1967;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,6954;3;0,0632
1967;5;G;Química                                                                                                                                                         ;31;0;0;0;0,00;0,6731;2;0,1375
1967;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,6454;30;0,0805
1967;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,6827;23;0,0429
1967;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,6731;31;0,0622
1967;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,6910;17;0,0799
1967;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,7476;70;0,0430
1968;1;G;Matemática                                                                                                                                                      ;30;0;0;0;0,00;0,6605;6;0,2390
1968;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,5772;52;0,1169
1968;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,6778;10;0,0432
1968;5;G;Química                                                                                                                                                         ;31;0;0;0;0,00;0,6590;8;0,0809
1968;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,5922;40;0,1425
1968;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,6170;54;0,1260
1968;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,6016;55;0,0805
1968;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,6349;33;0,0712
1969;1;G;Matemática                                                                                                                                                      ;30;0;0;0;0,00;0,5708;18;0,1391
1969;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,6444;4;0,0292
1969;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,5613;29;0,1369
1969;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,6158;19;0,1524
1969;5;G;Química                                                                                                                                                         ;31;0;0;0;0,00;0,6288;17;0,1715
1969;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,5964;48;0,1631
1969;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,5977;31;0,1603
1969;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,5716;39;0,1089
1969;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,6502;28;0,1025
1969;15;G;Medicina                                                                                                                                                        ;0;0;0;0;0,00;0,6841;80;0,0561
1970;1;G;Matemática                                                                                                                                                      ;30;0;0;0;0,00;0,5529;34;0,1577
1970;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,5748;15;0,1675
1970;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,5050;34;0,2103
1970;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,5430;30;0,1601
1970;5;G;Química                                                                                                                                                         ;31;0;0;0;0,00;0,4745;29;0,2094
1970;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,5409;35;0,0901
1970;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,6015;44;0,1236
1970;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,5716;52;0,0778
1970;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,5080;32;0,2433
1970;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,6962;76;0,0646
1970;16;G;Ciências Sociais                                                                                                                                                ;35;0;0;0;0,00;0,5882;19;0,1415
1970;17;G;Ciências Econômicas                                                                                                                                             ;35;0;0;0;0,00;0,5710;50;0,1056
1970;18;G;Linguística                                                                                                                                                     ;35;0;0;0;0,00;0,7531;7;0,0454
1971;1;G;Matemática                                                                                                                                                      ;30;0;0;0;0,00;0,5162;32;0,1791
1971;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,5220;36;0,1837
1971;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,4746;51;0,1704
1971;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,4695;36;0,1907
1971;5;G;Química                                                                                                                                                         ;31;0;0;0;0,00;0,4677;33;0,1768
1971;6;G;Ciências Biológicas                                                                                                                                             ;30;0;0;0;0,00;0,6379;25;0,1279
1971;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,5664;54;0,1261
1971;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,5825;55;0,1439
1971;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,5731;62;0,0875
1971;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,5857;47;0,1360
1971;14;G;Odontologia                                                                                                                                                     ;40;14;0;0;0,00;0,6386;51;0,0499
1971;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,7055;84;0,1039
1971;16;G;Ciências Sociais                                                                                                                                                ;35;0;0;0;0,00;0,6065;52;0,1586
1971;17;G;Ciências Econômicas                                                                                                                                             ;35;0;0;0;0,00;0,4979;39;0,1401
1971;18;G;Linguística                                                                                                                                                     ;35;0;0;0;0,00;0,6003;26;0,1977
1972;1;G;Matemática                                                                                                                                                      ;30;0;0;0;0,00;0,4287;47;0,2806
1972;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,3477;40;0,2817
1972;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,5267;50;0,2057
