Catalogo;Curso;NivelCurso;Habilitacao;NomeHabilitacao;TotalCreditosCurso;TOTALHORASCURSO;LimiteMaximoIntegralizacao;LimiteMinimoIntegralizacao;TotalHorasPresencialCurso;TotalHorasDistanciaCurso
1961;14;G;  ;                                                                                                                                                                ;190;3720;8;4;0;0
1963;15;G;  ;                                                                                                                                                                ;3;45;0;0;0;0
1964;15;G;  ;                                                                                                                                                                ;3;45;0;0;0;0
1965;15;G;  ;                                                                                                                                                                ;3;45;0;0;0;0
1966;15;G;  ;                                                                                                                                                                ;3;45;0;0;0;0
1967;1;G;AA;Bacharelado em Matemática                                                                                                                                       ;59;1020;14;6;0;0
1967;1;G;AB;Licenciatura em Matemática                                                                                                                                      ;59;1020;14;6;0;0
1967;4;G;AA;Bacharelado em Física                                                                                                                                           ;72;1200;12;6;0;0
1967;4;G;AB;Licenciatura em Física                                                                                                                                          ;72;1200;12;6;0;0
1967;5;G;AA;Bacharelado em Química                                                                                                                                          ;52;900;16;6;0;0
1967;5;G;AB;Licenciatura em Química                                                                                                                                         ;52;900;12;6;0;0
1967;10;G;  ;                                                                                                                                                                ;71;1200;18;8;0;0
1967;11;G;  ;                                                                                                                                                                ;12;240;18;8;0;0
1967;12;G;  ;                                                                                                                                                                ;52;885;18;8;0;0
1967;13;G;  ;                                                                                                                                                                ;51;885;18;8;0;0
1967;15;G;  ;                                                                                                                                                                ;3;45;0;0;0;0
1968;1;G;AA;Bacharelado em Matemática                                                                                                                                       ;90;1545;14;6;0;0
1968;1;G;AB;Licenciatura em Matemática                                                                                                                                      ;90;1545;14;6;0;0
1968;3;G;  ;                                                                                                                                                                ;54;870;16;8;0;0
1968;4;G;AA;Bacharelado em Física                                                                                                                                           ;108;1815;12;6;0;0
1968;4;G;AB;Licenciatura em Física                                                                                                                                          ;108;1815;12;6;0;0
1968;5;G;AA;Bacharelado em Química                                                                                                                                          ;112;2025;16;6;0;0
1968;5;G;AB;Licenciatura em Química                                                                                                                                         ;112;2025;12;6;0;0
1968;10;G;  ;                                                                                                                                                                ;109;1890;18;8;0;0
1968;11;G;  ;                                                                                                                                                                ;22;465;18;8;0;0
1968;12;G;  ;                                                                                                                                                                ;111;1935;18;8;0;0
1968;13;G;  ;                                                                                                                                                                ;123;2385;18;8;0;0
1969;1;G;AA;Bacharelado em Matemática                                                                                                                                       ;87;1470;14;6;0;0
1969;1;G;AB;Licenciatura em Matemática                                                                                                                                      ;99;1650;14;6;0;0
1969;2;G;  ;                                                                                                                                                                ;43;675;14;6;0;0
1969;3;G;  ;                                                                                                                                                                ;76;1230;16;8;0;0
1969;4;G;AA;Bacharelado em Física                                                                                                                                           ;123;2130;12;6;0;0
1969;4;G;AB;Licenciatura em Física                                                                                                                                          ;139;2370;12;6;0;0
1969;5;G;AA;Bacharelado em Química                                                                                                                                          ;140;2700;16;6;0;0
