AnoOferecimento;Periodo Oferecimento;Tipo Periodo Oferecimento;Disciplina;NivelDisciplina;Turma;Ano Catalogo Oferecimento;Indicador Quinzenal;Vagas Oferecidas;Total Matriculados;Situacao Oferecimento;Horario Oferecimento;Permite Realocacao
2014;1;S;AU133;G;A  ;2014;0;30;15;0;N;S
2014;1;S;AU133;G;B  ;2014;0;17;14;0;N;S
2014;1;S;AU135;G;A  ;2014;0;15;12;0;N;N
2014;1;S;AU135;G;B  ;2014;0;15;14;0;N;N
2014;1;S;LA113;G;C  ;2014;0;20;20;0;D;N
2014;1;S;LA213;G;E  ;2014;0;20;15;0;N;N
2014;1;S;AU221;G;A  ;2014;0;33;35;0;N;N
2014;1;S;AU225;G;A  ;2014;0;30;3;0;I;N
2014;1;S;LA313;G;B  ;2014;0;20;11;0;D;N
2014;1;S;LA213;G;F  ;2014;0;20;20;0;D;N
2014;1;S;AU301;G;A  ;2008;0;36;35;0;N;S
2014;1;S;AU302;G;A  ;2014;0;30;32;0;N;S
2014;1;S;AU303;G;A  ;2014;0;30;27;0;N;N
2014;1;S;AU402;G;A  ;2014;0;30;30;0;N;N
2014;1;S;AU404;G;A  ;2003;0;33;28;0;N;N
2014;1;S;AU700;G;A  ;2014;0;24;18;0;N;N
2014;1;S;AU406;G;A  ;2014;0;30;19;0;N;N
2014;1;S;AU416;G;A  ;2014;0;30;28;0;N;N
2014;1;S;AU502;G;A  ;2014;0;30;21;0;N;N
2014;1;S;AU503;G;A  ;2009;0;30;0;0;N;N
2014;1;S;AU612;G;A  ;2014;0;30;28;0;N;S
2014;1;S;AU614;G;A  ;2014;0;30;27;0;N;N
2014;1;S;LA414;G;B  ;2014;0;20;2;0;D;N
2014;1;S;AU811;G;A  ;2003;0;31;28;0;N;N
2014;1;S;AU814;G;A  ;2014;0;33;28;0;N;N
2014;1;S;AU815;G;A  ;2014;0;30;29;0;N;N
2014;1;S;AU815;G;B  ;2014;0;0;0;0;N;N
2014;1;S;LA614;G;B  ;2014;0;22;13;0;D;N
2014;1;S;BA110;G;A  ;2014;0;75;72;0;D;S
2014;1;S;BA110;G;B  ;2014;0;75;74;0;N;S
2014;1;S;TL108;G;B  ;2014;0;35;27;0;D;N
2014;1;S;BC181;G;A  ;2013;0;2;0;0;N;S
2014;1;S;BA133;G;A  ;2014;0;50;45;0;D;S
2014;1;S;BA500;G;A  ;2014;0;5;0;0;I;N
2014;1;S;BA500;G;B  ;2014;0;5;0;0;I;N
2014;1;S;BA500;G;C  ;2014;0;5;1;0;I;N
2014;1;S;BA500;G;D  ;2014;0;5;1;0;I;N
2014;1;S;BA500;G;E  ;2014;0;5;4;0;I;N
2014;1;S;BA500;G;F  ;2014;0;5;1;0;I;N
2014;1;S;MC039;G;A  ;2014;0;10;3;0;D;N
2014;1;S;MC039;G;B  ;2014;0;10;1;0;D;N
2014;1;S;MC039;G;C  ;2014;0;10;0;0;D;N
2014;1;S;MC039;G;D  ;2014;0;10;2;0;D;N
2014;1;S;MC738;G;A  ;2014;0;15;3;0;D;N
2014;1;S;BA700;G;A  ;2010;0;5;0;0;I;N
2014;1;S;BA700;G;B  ;2010;0;5;0;0;I;N
2014;1;S;BA700;G;C  ;2010;0;5;0;0;I;N
2014;1;S;BA700;G;D  ;2010;0;5;0;0;I;N
2014;1;S;BA700;G;E  ;2010;0;5;0;0;I;N
2014;1;S;BA700;G;F  ;2010;0;5;0;0;I;N
2014;1;S;MC857;G;A  ;2014;0;0;0;0;D;N
2014;1;S;MC861;G;A  ;2014;0;25;25;0;N;N
2014;1;S;MC886;G;A  ;2014;0;10;10;0;D;N
2014;1;S;MC889;G;A  ;2014;0;20;11;0;D;N
2014;1;S;MC900;G;A  ;2014;0;20;9;0;D;N
2014;1;S;BB123;G;A  ;2006;0;48;47;0;D;S
2014;1;S;BF381;G;A  ;2014;0;46;44;0;D;S
2014;1;S;BB125;G;A  ;2014;0;52;52;0;D;S
2014;1;S;BB500;G;A  ;2014;0;5;1;0;I;N
2014;1;S;BB500;G;B  ;2014;0;5;1;0;I;N
2014;1;S;BB500;G;C  ;2014;0;5;0;0;I;N
2014;1;S;BB500;G;D  ;2014;0;5;0;0;I;N
2014;1;S;MC973;G;A  ;2014;0;10;0;0;D;N
2014;1;S;MC906;G;A  ;2014;0;60;51;0;D;N
2014;1;S;MC918;G;A  ;2014;0;10;1;0;D;N
2014;1;S;MC919;G;A  ;2014;0;10;4;0;N;N
2014;1;S;MC920;G;A  ;2014;0;10;10;0;N;N
2014;1;S;MC930;G;A  ;2014;0;60;13;0;N;N
2014;1;S;MC931;G;A  ;2014;0;10;1;0;N;N
2014;1;S;BB586;G;A  ;2014;0;0;0;0;D;N
2014;1;S;BB700;G;A  ;2010;0;5;0;0;I;N
2014;1;S;BB700;G;B  ;2010;0;5;0;0;I;N
2014;1;S;BB700;G;C  ;2010;0;5;0;0;I;N
2014;1;S;BB700;G;D  ;2010;0;5;1;0;I;N
2014;1;S;MC936;G;A  ;2014;0;15;2;0;D;N
2014;1;S;MC942;G;A  ;2014;0;20;3;0;N;N
2014;1;S;MC949;G;A  ;2014;0;30;11;0;D;N
2014;1;S;MC960;G;A  ;2014;0;10;0;0;D;N
2014;1;S;MC964;G;A  ;2014;0;10;1;0;D;N
2014;1;S;MC038;G;A  ;2014;0;1;1;0;D;N
2014;1;S;SL204;G;A  ;2014;0;60;59;0;D;N
2014;1;S;BB381;G;A  ;2014;0;47;44;0;D;S
2014;1;S;BB381;G;B  ;2014;0;47;42;0;N;S
2014;1;S;BC182;G;A  ;2014;0;49;51;0;D;S
2014;1;S;BC183;G;A  ;2014;0;54;50;0;N;S
2014;1;S;GL701;G;B  ;2014;0;5;6;0;I;N
2014;1;S;BC500;G;A  ;2014;0;5;1;0;I;N
2014;1;S;BC500;G;B  ;2014;0;5;0;0;I;N
2014;1;S;BC500;G;C  ;2014;0;5;2;0;I;N
2014;1;S;BC500;G;D  ;2014;0;3;0;0;I;N
2014;1;S;GL801;G;Z  ;2014;0;5;0;0;I;N
2014;1;S;FA733;G;B  ;2014;0;41;43;0;D;N
2014;1;S;MD760;G;A  ;2014;0;20;5;0;D;N
2014;1;S;AM061;G;A  ;2014;0;150;0;0;D;N
2014;1;S;BT382;G;A  ;2014;0;46;45;0;D;S
2014;1;S;BT383;G;A  ;2014;0;45;42;0;N;S
2014;1;S;EE641;G;Y  ;2014;2;27;12;0;N;N
2014;1;S;BC700;G;A  ;2010;0;20;0;0;I;N
2014;1;S;BC700;G;B  ;2010;0;5;0;0;I;N
2014;1;S;BC700;G;C  ;2010;0;5;0;0;I;N
2014;1;S;BC700;G;D  ;2010;0;5;1;0;I;N
2014;1;S;AM018;G;H  ;2014;0;30;29;0;I;N
2014;1;S;AM019;G;H  ;2014;0;30;6;0;I;N
2014;1;S;AM024;G;H  ;2014;0;30;0;0;I;N
2014;1;S;AM025;G;H  ;2014;0;30;1;0;I;N
2014;1;S;AM026;G;H  ;2014;0;30;0;0;I;N
2014;1;S;AM027;G;H  ;2014;0;30;0;0;I;N
2014;1;S;BD101;G;A  ;2014;0;35;36;0;D;S
2014;1;S;BD101;G;B  ;2014;0;30;24;0;N;S
2014;1;S;BD190;G;A  ;2014;0;110;110;0;D;S
2014;1;S;BD190;G;B  ;2014;0;100;59;0;N;S
2014;1;S;EE641;G;X  ;2014;1;27;10;0;N;N
2014;1;S;BD500;G;A  ;2014;0;20;12;0;I;N
2014;1;S;BD580;G;A  ;2014;0;10;9;0;D;S
2014;1;S;BD600;G;A  ;2014;0;5;4;0;I;N
2014;1;S;BD700;G;A  ;2010;0;10;4;0;I;N
2014;1;S;HL902;G;10 ;2012;0;3;2;0;I;N
2014;1;S;BD800;G;A  ;2014;0;5;1;0;I;N
2014;1;S;BE180;G;A  ;2014;0;50;50;0;D;S
2014;1;S;HL902;G;8  ;2012;0;3;1;0;I;N
2014;1;S;LA884;G;C  ;2014;0;45;20;0;N;N
2014;1;S;BE310;G;A  ;2014;0;60;40;0;D;S
2014;1;S;BE310;G;B  ;2014;0;60;40;0;D;S
2014;1;S;BE310;G;C  ;2014;0;110;71;0;N;S
2014;1;S;BE500;G;A  ;2014;0;5;2;0;I;N
2014;1;S;BE500;G;B  ;2014;0;5;1;0;I;N
2014;1;S;BE500;G;C  ;2014;0;5;0;0;I;N
2014;1;S;BE500;G;D  ;2014;0;5;1;0;I;N
2014;1;S;BE500;G;E  ;2014;0;5;2;0;I;N
2014;1;S;ST821;T;A  ;2014;0;50;11;0;I;N
2014;1;S;ST831;T;A  ;2013;0;50;1;0;I;N
2014;1;S;TT201;T;A  ;2014;0;10;2;0;N;N
2014;1;S;ST100;T;A  ;2014;0;30;7;0;D;N
2014;1;S;EN903;G;G  ;2014;0;3;0;0;D;N
2014;1;S;MC521;G;A  ;2014;0;25;18;0;D;N
2014;1;S;BE700;G;A  ;2010;0;5;0;0;I;N
2014;1;S;BE700;G;B  ;2010;0;5;0;0;I;N
2014;1;S;BE700;G;C  ;2010;0;5;0;0;I;N
2014;1;S;BE700;G;D  ;2010;0;5;0;0;I;N
2014;1;S;BE700;G;E  ;2010;0;5;0;0;I;N
2014;1;S;MC932;G;A  ;2014;0;40;14;0;D;N
2014;1;S;EN903;G;H  ;2014;0;2;1;0;D;N
2014;1;S;ES728;G;#  ;2014;0;999;9;1;I;N
2014;1;S;ES710;G;#  ;2014;0;999;12;1;I;N
2014;1;S;AP735;G;S  ;2014;0;4;4;0;I;N
2014;1;S;HG741;G;A  ;2014;0;45;6;0;D;N
2014;1;S;HZ956;G;F  ;2014;0;10;0;0;I;N
2014;1;S;HZ963;G;F  ;2014;0;10;0;0;I;N
2014;1;S;HZ963;G;G  ;2014;0;10;0;0;I;N
2014;1;S;HZ965;G;F  ;2014;0;10;0;0;I;N
2014;1;S;BF180;G;A  ;2014;0;39;29;0;D;S
2014;1;S;BF310;G;A  ;2014;0;55;48;0;D;S
2014;1;S;BF310;G;B  ;2014;0;16;12;0;N;S
2014;1;S;AP735;G;T  ;2014;0;4;0;0;I;N
2014;1;S;TL906;G;W  ;2014;0;5;2;0;D;N
2014;1;S;BF312;G;A  ;2014;0;37;18;0;N;N
2014;1;S;TL108;G;C  ;2014;0;45;39;0;N;N
2014;1;S;BF500;G;A  ;2014;0;5;2;0;I;N
2014;1;S;BF500;G;B  ;2014;0;5;0;0;I;N
2014;1;S;BF500;G;C  ;2014;0;5;1;0;I;N
2014;1;S;BF500;G;D  ;2014;0;5;0;0;I;N
2014;1;S;HZ965;G;G  ;2014;0;10;0;0;I;N
2014;1;S;HZ764;G;A  ;2014;0;25;15;0;D;N
2014;1;S;HZ945;G;F  ;2014;0;10;0;0;I;N
2014;1;S;HZ945;G;G  ;2014;0;10;0;0;I;N
2014;1;S;HZ946;G;F  ;2014;0;10;0;0;I;N
2014;1;S;HZ946;G;G  ;2014;0;10;0;0;I;N
2014;1;S;AP701;G;A  ;2014;0;20;1;0;D;N
2014;1;S;AP701;G;B  ;2014;0;0;0;0;D;N
2014;1;S;BF582;G;A  ;2013;0;50;44;0;D;S
2014;1;S;BZ182;G;A  ;2014;0;1;0;0;N;S
2014;1;S;BF700;G;A  ;2010;0;5;0;0;I;N
2014;1;S;BF700;G;B  ;2010;0;5;1;0;I;N
2014;1;S;BF700;G;C  ;2010;0;5;0;0;I;N
2014;1;S;BF700;G;D  ;2010;0;5;0;0;I;N
2014;1;S;F 105;G;A  ;2014;0;0;0;0;D;S
2014;1;S;FN460;G;P  ;2014;0;4;1;0;I;N
2014;1;S;EN390;G;E  ;2014;0;0;0;0;D;N
2014;1;S;TL024;G;A  ;2014;0;55;53;0;D;N
2014;1;S;EN532;G;D  ;2014;0;6;0;0;D;N
2014;1;S;EN791;G;H  ;2014;0;0;0;0;D;N
2014;1;S;EN903;G;F  ;2014;0;1;0;0;D;N
