Disciplina;NivelDisciplina;Ementa;Bibliografia;Programa
AC001;G;Elaboração de exercícios cênicos integrando os procedimentos desenvolvidos nas disciplinas práticas anteriores. Relação do sujeito atuante com a construção cênica.;; 
AC002;G;Concepção e prática de direção de espetáculo teatral de curta duração. Planejamento do processo de criação e montagem. A produção de sentido no discurso cênico a partir dos diversos elementos componentes do texto espetacular.;; 
AC003;G;Elaboração de dramaturgias teatrais. Integração do texto à experimentação cênica. Instrumentalização do aluno para a construção ficcional.;; 
AC004;G;Processos de criação e execução em cenografia e figurino. Desenvolvimento da percepção espacial e visual e sua relação com os elementos plásticos que compõem a cena.;; 
AC005;G;Treinamento das habilidades circenses. Estudo e prática de novos aparelhos e técnicas de picadeiro.;;
AC006;G;Treinamento das habilidades circenses. Estudo e prática de novos aparelhos e técnicas de picadeiro.;; 
AC007;G;Investigação de procedimentos para a composição do corpo ficcional. Esta disciplina contempla questões pertinentes ao PICC I.;;
AC008;G;Exercícios técnicos e expressivos para a composição vocal na cena. Esta disciplina contempla questões pertinentes ao PICC I.;;
AC009;G;Investigação de procedimentos para a composição de uma dramaturgia corpórea. Esta disciplina contempla questões pertinentes ao PICC II.;; 
AC010;G;Exercícios técnicos e expressivos para a composição vocal na cena. Relações  entre caracterização da voz e retórica do discurso. Esta disciplina contempla questões pertinentes ao PICC II.;; 
AC011;G;Investigação de procedimentos para a composição do personagem. Esta disciplina contempla questões pertinentes ao PICC III.;; 
AC012;G;Exercícios técnicos e expressivos para a composição vocal na cena, focalizando a composição do personagem. Esta disciplina contempla questões pertinentes ao PICC III.;; 
AC021;G;Desenvolvimento de projeto prático utilizando os conhecimentos das técnicas e métodos teatrais aprendidos durante o curso, aplicando-os junto à comunidade. Esta disciplina terá a orientação de um professor. O projeto deverá ser realizado individualmente ou em grupo e aprovado pelo orientador que estabelecerá o contato com entidades que poderão abrigar o estágio tais como ONGs, entidades de bairro, escolas públicas, hospitais, penitenciárias, e outros.;; 
AC101;G;Proporciona ao aluno o conhecimento das principais configurações do espetáculo teatral no Brasil. Estudo das origens do fenômeno teatral no Brasil. Manifestações teatrais de aculturação ibérica: autos e emtremezes. A encenação jesuítica e sua organização segundo as relações espaciais palco-platéia: o palco elisabetano, o palco italiano e o palco sem-limite. Folguedos populares de aculturação indígena, africana e ibérica.;; 
AC102;G;"Estudo dos fundamentos da estética e da filosofia da arte; introdução a reflexão estética, poética e crítica sobre a obra de arte. Discussão sobre o conceito de belo, prazer estético, função social da arte e outros problemas da produção, recepção e circulação da obra de arte. Introdução ao estudo dos gêneros literários. A poesia épica, lírica e dramática. História dos gêneros teatrais.";; 
AC103;G;Treinamento do Papel do Ator: 1) Acompanhamento da dinâmica do grupo em formação, orientando-o no sentido de encontrar um ambiente propício à criação artística. 2) Reflexões básicas sobre os aspectos sociais e afetivos da profissão de ator. 3) Noções básicas de psicologia. 4) Exercícios básicos de autoconhecimento.;; 
AC104;G;Desenvolvimento no aluno de um ponto de vista próprio sobre a realidade teatral, através do contato com os profissionais atuantes na área.;; 
AC105;G;Desenvolvimento das potencialidades musicais do aluno através do canto individual e do canto coral como elemento de qualificação para o trabalho do ator.;; 
AC106;G;Noções básicas do ato de dançar. Correção da postura para o aprendizado e a prática da dança.;; 
AC107;G;Introdução ao jogo teatral organizado do ponto de vista da sua mecânica e regras. O trabalho deve favorecer o desenvolvimento de uma dinâmica de grupo e o treinamento do ator na sua relação direta com a cena.;; 
AC109;G;Estudo prático e teórico dos principais elementos da linguagem musical. Aspectos rítmicos, melódicos e harmônicos. Treinamento da escuta musical.;; 
AC110;G;"Introdu&#231;&#227;o &#224; improvisa&#231;&#227;o teatral, introduzindo o alouno na pr&#225;tica do jogo c&#234;nico, com todos os elementos constituintes da cena teatral.";;
AC112;G;Treinamento das técnicas básicas de acrobacia e malabarismo. Estudo das modalidades de equilíbrio.;; 
AC113;G;Estudo das formas espetaculares ocidentais nos diversos processos de composição cênica: das festas às ritualizações e encenações.;; 
AC119;G;"Estudo dos fundamentos da estética e da filosofia da arte; introdução  àreflexão estética, poética e crítica sobre a obra de arte. Discussão sobre o conceito do belo, prazer estético, função social da arte  e  outros problemas da produção, recepção e circulação da obra de arte. Introdução ao  estudo dos gêneros literários. A poesia épica, lírica e dramática. História dos gêneros teatrais.";; 
AC120;G;Estudo dos fundamentos da estética e da filosofia da arte. Introdução à reflexão analítica e crítica no campo específico do fazer teatral.;; 
AC121;G;"As possibilidades de ação teatral em comunidades: análise e estudo de casos existentes; estudo da criação de caráter teatral a partir da interação do indivíduo, ou grupo de artistas, com uma dada comunidade. Planejamento e sondagem em campo de possíveis ações, com viés pedagógicos e/ou criação artística.";; 
AC128;G;Estudo, em contexto histórico, das principais manifestações artísticas do Brasil geradas pela cultura popular e de natureza teatral. Pesquisa de várias espécies de danças dramáticas, folguedos e jogos cênicos detectáveis na contemporaneidade. Conceituação de performance, patrimônio imaterial e (re)tradicionalização. Reflexão sobre a identidade expressiva do brasileiro e suas relações com a identidade cênica do ator em processo  de formação.;; 
AC129;G;"Estudo das rela&#231;&#245;es existentes entre a cultura popular brasileira, especialmente os folguetos ou dan&#231;as dram&#225;ticas, e o teatro enquanto forma espetacular e enquanto arte que auxiliou na configura&#231;&#227;o da nacionalidade brasileira.";;
AC141;G;Desenvolvimento da consciência corporal, privilegiando o reconhecimento da estrutura óssea e muscular, assim como os processos fisiológicos, as estruturas anatômicas e os processos motores envolvidos no movimento.;; 
AC142;G;Introdução aos elementos técnicos da dança, buscando desenvolver no ator a percepção e o domínio corporal na dimensão espacial e temporal.;; 
AC143;G;Introdução aos elementos técnicos de uma luta ou arte marcial enfatizando os aspectos lúdicos presentes no jogo de combate.;; 
AC145;G;Introdução à expressão corporal. Laboratório de expressão livre.; ; 
AC148;G;Desenvolvimento da consciência corporal, privilegiando o reconhecimento da estrutura óssea e muscular, assim como os processos fisiológicos, as estruturas anatômicas e os processos motores envolvidos no movimento.;; 
AC150;G;"Introdu&#231;&#227;o ao jogo teatral buscando o desenvolvimento do ator a partir de diferentes din&#226;micas relacionais que envolvem o outro, assim como o coletivo.";;
AC151;G;Noções básicas de técnica vocal: respiração, emissão, articulação e impostação. Elementos de anatomia e fisiologia do aparelho fonador. Classificação vocal. Conscientização do uso da voz como instrumento musical. Vocalizes básicos.;; 
AC152;G;Integração corpo/voz para o cantor, visando a construção de procedimentos cênicos.; ; 
AC160;G;Estudos orientados para a investigação de procedimentos específicos de criação cênica.;; 
AC170;G;A utilização de um conjunto de procedimentos como instrumento para a expressão do ator, com ênfase nos elementos não-verbais da cena.;; 
AC180;G;A exploração da palavra como matéria para o desencadeamento do acontecimento cênico.;; 
AC201;G;As diversas formas dramáticas de natureza folclórica. Formas populares de teatro: teatro de bonecos, teatro de rua, etc. O palco italiano e o edifício teatral.;; 
AC202;G;Reflexão sobre fenômeno teatral. O texto dramatúrgico e o texto espetacular. Análise do espetáculo teatral. Formas do texto teatral. Discussão crítica sobre espetáculos contemporâneos do ponto de vista da dramaturgia. Modelos e tendências da dramaturgia moderna e contemporânea: dramaturgia em processo, adaptações e outras formas da produção dramatúrgica.;; 
AC203;G;Treinamento do Papel do Ator: 1) Acompanhamento da dinâmica do grupo favorecendo a espontaneidade e a criatividade individuais e a capacidade de percepção das relações interpessoais. 2) Reflexões básicas sobre o processo de criação do ator. 3) As inter-relações entre psicologia e teatro.;; 
AC205;G;Estudo das diferentes funções do canto na cena a partir de diversas poéticas teatrais. Articulação entre a palavra cantada e a palavra falada.;; 
AC206;G;Disciplina do trabalho corpóreo. Domínio da linguagem cênica independentemente da verbalização. Exercícios Coreográficos.;; 
AC207;G;Desenvolvimento e aprofundamento ao jogo teatral organizado do ponto de vista da sua mecânica e regras. O trabalho deve favorecer a dinâmica grupal e o treinamento do ator na sua relação direta com a cena.;; 
AC208;G;Introdução aos elementos técnicos das artes visuais, visando a confecção de adereços cênicos. A máscara no teatro e a dialética do ocultar/revelar. Estudo da máscara facial e aprendizado de técnicas de confecção de máscaras.;; 
AC209;G;Estudo de modelos de estrutura musical. Desenvolvimento da percepção rítmica. Contato com instrumentos de percussão para improvisação rítmica, improvisação livre e sua relação com a cena.;; 
AC212;G;Aperfeiçoamento das modalidades estudadas em Técnicas Circenses I. Prática de exercícios coletivos e composição de partituras cênicas.;; 
AC213;G;Estudo das formas espetaculares orientais nos diversos processos de composição cênica: das manifestações tradicionais às contemporâneas.;; 
AC218;G;Introdução aos elementos técnicos das artes visuais, visando a confecção de adereços cênicos. A máscara no teatro e a dialética do ocultar/revelar. Estudo da máscara facial e aprendizado de técnicas de confecção de máscaras.;; 
AC219;G;"Abordagem de diferentes concep&#231;&#245;es e pr&#225;ticas dramat&#250;rgicas a partir da modernidade.";"<b></b>BERTHOLD, M.&#160; <b>Historia social do teatro</b>.&#160; S&#227;o Paulo: Editora Perspectiva,2006. <br />CARLSON, Marvin. <b>Teorias do Teatro</b> . S&#227;o Paulo: Editora Unesp, 1997. <br />LEHMANN, Hans-Thies.<b> Postdramatic Theatre</b>. London and New Cork: Routledge, 2007. <br />S&#193;NCHEZ, Jos&#233; A. S&#225;nchez. <b>Dramturgias de la Imagen</b>. Cuenca: Ediciones de la Universidad de&#160;Castilla-La Mancha, 2002. <br />SZONDI, Meter. <b>Teoria do Drama Moderno</b> (1880-1950). S&#227;o Paulo: Cosac &amp; Naify Edi&#231;&#245;es, 2001. Rosenfeld, A.&#160; <b>Teatro moderno.</b>&#160; S&#227;o Paulo: Perspectiva, 1977. (Cole&#231;&#227;o Debates).";"<b>Objetivos:</b><br />Com objetivo de direcionar o estudo da reflex&#227;o te&#243;rica &#224; forma&#231;&#227;o do ator, essa disciplina det&#233;m-se nas mudan&#231;as de paradigmas dos processos dramat&#250;rgicos, a partir do modernismo, no contexto dos movimentos est&#233;ticos e das produ&#231;&#245;es art&#237;sticas ocorridas na passagem no s&#233;culo XIX e no decorrer do s&#233;culo XX.<br /><br /><b>Conte&#250;do Program&#225;tico:<br /></b>- Do dram&#225;tico ao &#233;pico: a mudan&#231;a de paradigmas na produ&#231;&#227;o teatral do s&#233;culo XIX-XX;<br />- Expressionismo e Simbolismo do s&#233;culo Vanguardas Hist&#243;ricas;<br />-&#160; Espetaculariza&#231;&#227;o e Dramaturgiza&#231;&#227;o;<br />-&#160;&#160; Epicidade e Subjetividade Descentraliza&#231;&#227;o e hierarquiza&#231;&#227;o do texto verbal na dramaturgia teatral"
AC221;G;O compromisso e as ações do artista de teatro em interação com a comunidade. Criação e experimentação de práticas específicas de ação teatral junto à comunidade, com apresentação de resultado final.;; 
AC228;G;Aprofundamento das pesquisas realizadas em Formas Espetaculares no Brasil I. Investigação prática a partir das matrizes estudadas.;; 
AC229;G;"Continuidade dos estudos empreendidos na AC129 de forma a elaborar um exerc&#237;cio c&#234;nico de rua que envolva a cultura popular brasileira.";;
