AnoOferecimento;Periodo Oferecimento;Tipo Periodo Oferecimento;Disciplina;NivelDisciplina;Turma;Dia da Semana;Hora Inicio Aula;Identificacao Sala de Aula
2014;1;S;AP725;G;A  ;2;16,00;AP07 
2014;1;S;AC007;G;A  ;4;14,00;AC03 
2014;1;S;AC007;G;A  ;4;15,00;AC03 
2014;1;S;AC007;G;A  ;4;16,00;AC03 
2014;1;S;AC007;G;A  ;4;17,00;AC03 
2014;1;S;AC008;G;A  ;5;8,00;AC05 
2014;1;S;AC008;G;A  ;5;9,00;AC05 
2014;1;S;AC008;G;A  ;5;10,00;AC05 
2014;1;S;AC008;G;A  ;5;11,00;AC05 
2014;1;S;AC011;G;A  ;2;8,00;AC04 
2014;1;S;AC011;G;A  ;2;9,00;AC04 
2014;1;S;AC011;G;A  ;2;10,00;AC04 
2014;1;S;AC011;G;A  ;2;11,00;AC04 
2014;1;S;AC012;G;A  ;3;8,00;AC01 
2014;1;S;AC012;G;A  ;3;9,00;AC01 
2014;1;S;AC012;G;A  ;3;10,00;AC01 
2014;1;S;AC012;G;A  ;3;11,00;AC01 
2014;1;S;AC105;G;A  ;5;8,00;AC11 
2014;1;S;AC105;G;A  ;5;9,00;AC11 
2014;1;S;AC105;G;B  ;5;10,00;AC11 
2014;1;S;AC105;G;B  ;5;11,00;AC11 
2014;1;S;AC109;G;A  ;6;10,00;AC02 
2014;1;S;AC109;G;A  ;6;11,00;AC02 
2014;1;S;AC110;G;A  ;3;14,00;AC11 
2014;1;S;AC110;G;A  ;3;15,00;AC11 
2014;1;S;AC110;G;A  ;3;16,00;AC11 
2014;1;S;AC110;G;A  ;3;17,00;AC11 
2014;1;S;AC110;G;A  ;4;14,00;AC11 
2014;1;S;AC110;G;A  ;4;15,00;AC11 
2014;1;S;AC112;G;A  ;5;8,00;AC03 
2014;1;S;AC112;G;A  ;5;9,00;AC03 
2014;1;S;AC112;G;B  ;5;10,00;AC06 
2014;1;S;AC112;G;B  ;5;11,00;AC06 
2014;1;S;AC113;G;A  ;3;10,00;AC04 
2014;1;S;AC113;G;A  ;3;11,00;AC04 
2014;1;S;AC120;G;A  ;2;14,00;ED09 
2014;1;S;AC120;G;A  ;2;15,00;ED09 
2014;1;S;AC120;G;A  ;2;16,00;ED09 
2014;1;S;AC128;G;A  ;4;16,00;AC01 
2014;1;S;AC128;G;A  ;4;17,00;AC01 
2014;1;S;AC129;G;A  ;4;16,00;AC01 
2014;1;S;AC129;G;A  ;4;17,00;AC01 
2014;1;S;AC142;G;A  ;2;10,00;AC03 
2014;1;S;AC142;G;A  ;2;11,00;AC03 
2014;1;S;AC142;G;A  ;4;10,00;AC03 
2014;1;S;AC142;G;A  ;4;11,00;AC03 
2014;1;S;AC143;G;A  ;6;14,00;AC02 
2014;1;S;AC143;G;A  ;6;15,00;AC02 
2014;1;S;AC143;G;B  ;5;8,00;AC06 
2014;1;S;AC143;G;B  ;5;9,00;AC06 
2014;1;S;AC148;G;A  ;2;8,00;ED03 
2014;1;S;AC148;G;A  ;2;9,00;ED03 
2014;1;S;AC152;G;A  ;2;8,00;AC02 
2014;1;S;AC152;G;A  ;2;9,00;AC02 
2014;1;S;AC160;G;A  ;2;10,00;AC08 
2014;1;S;AC160;G;A  ;2;11,00;AC08 
2014;1;S;AC221;G;A  ;6;14,00;AC08 
2014;1;S;AC221;G;A  ;6;15,00;AC08 
2014;1;S;AC270;G;A  ;2;14,00;AC11 
2014;1;S;AC270;G;A  ;2;15,00;AC11 
2014;1;S;AC270;G;A  ;2;16,00;AC11 
2014;1;S;AC305;G;A  ;4;10,00;AC11 
2014;1;S;AC305;G;A  ;4;11,00;AC11 
2014;1;S;AC310;G;A  ;6;8,00;AC03 
2014;1;S;AC310;G;A  ;6;9,00;AC03 
2014;1;S;AC310;G;A  ;6;10,00;AC03 
2014;1;S;AC310;G;A  ;6;11,00;AC03 
2014;1;S;AC311;G;A  ;6;14,00;AC03 
2014;1;S;AC311;G;A  ;6;15,00;AC03 
2014;1;S;AC311;G;A  ;6;16,00;AC03 
2014;1;S;AC315;G;A  ;2;10,00;AC06 
2014;1;S;AC315;G;A  ;2;11,00;AC06 
2014;1;S;AC317;G;A  ;2;8,00;AC01 
2014;1;S;AC317;G;A  ;2;9,00;AC01 
2014;1;S;AC320;G;A  ;4;8,00;ED10 
2014;1;S;AC320;G;A  ;4;9,00;ED10 
2014;1;S;AC321;G;A  ;6;10,00;CB06 
