PERIODO,TIPO,ANO,CDISC,CTURMA,ANO_TURMA_RESERVA,CURSO_RESERVA,NIVEL_CURSO_RESERVA
1,S,2014,AC007,A  ,2012,26,G
1,S,2014,AC008,A  ,2012,26,G
1,S,2014,AC011,A  ,2011,26,G
1,S,2014,AC012,A  ,2011,26,G
1,S,2014,AC105,A  ,0,26,G
1,S,2014,AC105,B  ,0,26,G
1,S,2014,AC109,A  ,0,26,G
1,S,2014,AC110,A  ,0,26,G
1,S,2014,AC112,A  ,0,26,G
1,S,2014,AC112,B  ,0,26,G
1,S,2014,AC113,A  ,0,26,G
1,S,2014,AC120,A  ,0,26,G
1,S,2014,AC128,A  ,0,26,G
1,S,2014,AC129,A  ,0,26,G
1,S,2014,AC142,A  ,0,26,G
1,S,2014,AC143,B  ,0,26,G
1,S,2014,AC148,A  ,0,26,G
1,S,2014,AC152,A  ,0,22,G
1,S,2014,AC160,A  ,0,26,G
1,S,2014,AC221,A  ,0,26,G
1,S,2014,AC270,A  ,0,26,G
1,S,2014,AC305,A  ,0,26,G
1,S,2014,AC310,A  ,2013,26,G
1,S,2014,AC311,A  ,0,26,G
1,S,2014,AC315,A  ,0,26,G
1,S,2014,AC317,A  ,0,26,G
1,S,2014,AC320,A  ,0,26,G
1,S,2014,AC321,A  ,0,23,G
1,S,2014,AC321,A  ,0,26,G
1,S,2014,AC360,A  ,0,26,G
1,S,2014,AC420,A  ,0,26,G
1,S,2014,AC511,A  ,2013,26,G
1,S,2014,AC555,A  ,0,26,G
1,S,2014,AC556,A  ,0,26,G
1,S,2014,AC777,A  ,2011,26,G
1,S,2014,AC777,B  ,2011,26,G
1,S,2014,AC778,A  ,0,26,G
1,S,2014,AD116,A  ,0,23,G
1,S,2014,AD135,A  ,0,23,G
1,S,2014,AD335,A  ,0,23,G
1,S,2014,AD421,A  ,0,23,G
1,S,2014,AD635,A  ,0,23,G
1,S,2014,AD824,A  ,0,23,G
1,S,2014,AD942,A  ,0,25,G
1,S,2014,AD943,A  ,0,23,G
1,S,2014,AP100,A  ,0,25,G
1,S,2014,AP103,A  ,0,25,G
1,S,2014,AP104,A  ,0,25,G
1,S,2014,AP104,B  ,0,25,G
1,S,2014,AP110,A  ,0,25,G
1,S,2014,AP111,A  ,0,48,G
1,S,2014,AP115,A  ,0,48,G
1,S,2014,AP198,A  ,0,25,G
1,S,2014,AP211,A  ,0,48,G
1,S,2014,AP217,A  ,0,48,G
1,S,2014,AP303,A  ,0,25,G
1,S,2014,AP304,A  ,0,25,G
1,S,2014,AP309,A  ,0,25,G
1,S,2014,AP340,A  ,0,25,G
1,S,2014,AP340,B  ,0,48,G
1,S,2014,AP398,A  ,0,25,G
1,S,2014,AP503,A  ,0,25,G
1,S,2014,AP515,A  ,0,25,G
1,S,2014,AP518,A  ,0,25,G
1,S,2014,AP598,A  ,0,25,G
1,S,2014,AP615,A  ,0,25,G
1,S,2014,AP620,A  ,0,25,G
1,S,2014,AP632,A  ,0,25,G
1,S,2014,AP701,A  ,0,25,G
1,S,2014,AP701,B  ,0,48,G
1,S,2014,AP709,A  ,0,25,G
1,S,2014,AP710,A  ,0,25,G
1,S,2014,AP724,A  ,0,25,G
1,S,2014,AP725,A  ,0,25,G
1,S,2014,AP735,A  ,0,25,G
1,S,2014,AP735,B  ,0,25,G
1,S,2014,AP735,C  ,0,25,G
1,S,2014,AP735,E  ,0,25,G
1,S,2014,AP735,F  ,0,25,G
1,S,2014,AP735,I  ,0,25,G
1,S,2014,AP735,K  ,0,25,G
1,S,2014,AP735,L  ,0,25,G
1,S,2014,AP735,M  ,0,25,G
1,S,2014,AP735,P  ,0,25,G
1,S,2014,AP735,R  ,0,25,G
1,S,2014,AP735,S  ,0,25,G
1,S,2014,AP735,T  ,0,25,G
1,S,2014,AP735,U  ,0,25,G
1,S,2014,AP742,A  ,0,48,G
1,S,2014,AP762,A  ,0,25,G
1,S,2014,AP810,A  ,0,25,G
1,S,2014,AP836,B  ,0,25,G
1,S,2014,AP836,C  ,0,25,G
1,S,2014,AP836,E  ,0,25,G
1,S,2014,AP836,F  ,0,25,G
1,S,2014,AP836,I  ,0,25,G
1,S,2014,AP836,K  ,0,25,G
1,S,2014,AP836,L  ,0,25,G
1,S,2014,AP836,M  ,0,25,G
1,S,2014,AP836,P  ,0,25,G
1,S,2014,AP836,R  ,0,25,G
1,S,2014,AP836,S  ,0,25,G
1,S,2014,AP836,T  ,0,25,G
1,S,2014,AP836,U  ,0,25,G
1,S,2014,AP836,V  ,0,25,G
1,S,2014,AP836,W  ,0,25,G
1,S,2014,AP895,A  ,0,25,G
1,S,2014,AP901,A  ,0,25,G
1,S,2014,AR101,A  ,0,22,G
1,S,2014,AR101,A  ,0,23,G
1,S,2014,AR101,A  ,0,25,G
1,S,2014,AR130,A  ,0,22,G
1,S,2014,AR130,A  ,0,23,G
1,S,2014,AR130,A  ,0,25,G
1,S,2014,AR130,A  ,0,26,G
1,S,2014,AR130,A  ,0,64,G
1,S,2014,AR301,A  ,0,22,G
1,S,2014,AR301,A  ,0,23,G
1,S,2014,AR301,A  ,0,25,G
1,S,2014,AU117,A  ,0,48,G
1,S,2014,AU117,B  ,0,48,G
1,S,2014,BA110,A  ,0,27,G
1,S,2014,BA110,B  ,0,45,G
1,S,2014,BA133,A  ,0,21,G
1,S,2014,BA500,A  ,0,6,G
1,S,2014,BA500,A  ,0,46,G
1,S,2014,BA500,B  ,0,6,G
1,S,2014,BA500,B  ,0,46,G
1,S,2014,BA500,C  ,0,6,G
1,S,2014,BA500,C  ,0,46,G
1,S,2014,BA500,D  ,0,6,G
1,S,2014,BA500,D  ,0,46,G
1,S,2014,BA500,E  ,0,6,G
1,S,2014,BA500,E  ,0,46,G
1,S,2014,BA500,F  ,0,6,G
1,S,2014,BA500,F  ,0,46,G
1,S,2014,BA700,A  ,0,6,G
1,S,2014,BA700,B  ,0,6,G
1,S,2014,BA700,C  ,0,6,G
1,S,2014,BA700,D  ,0,6,G
1,S,2014,BA700,E  ,0,6,G
1,S,2014,BA700,F  ,0,6,G
1,S,2014,BB123,A  ,0,21,G
1,S,2014,BB125,A  ,0,21,G
1,S,2014,BB381,A  ,0,6,G
1,S,2014,BB381,B  ,0,46,G
1,S,2014,BB500,A  ,0,6,G
1,S,2014,BB500,A  ,0,46,G
1,S,2014,BB500,B  ,0,6,G
1,S,2014,BB500,B  ,0,46,G
1,S,2014,BB500,C  ,0,6,G
1,S,2014,BB500,C  ,0,46,G
1,S,2014,BB500,D  ,0,6,G
1,S,2014,BB500,D  ,0,46,G
1,S,2014,BB586,A  ,0,6,G
1,S,2014,BB586,A  ,0,46,G
1,S,2014,BB700,A  ,0,6,G
1,S,2014,BB700,B  ,0,6,G
1,S,2014,BB700,C  ,0,6,G
1,S,2014,BB700,D  ,0,6,G
1,S,2014,BC182,A  ,0,6,G
1,S,2014,BC182,A  ,0,13,G
1,S,2014,BC183,A  ,0,46,G
1,S,2014,BC500,A  ,0,6,G
1,S,2014,BC500,A  ,0,46,G
1,S,2014,BC500,B  ,0,6,G
1,S,2014,BC500,B  ,0,46,G
1,S,2014,BC500,C  ,0,6,G
1,S,2014,BC500,C  ,0,46,G
1,S,2014,BC500,D  ,0,6,G
1,S,2014,BC500,D  ,0,46,G
1,S,2014,BC700,A  ,0,6,G
1,S,2014,BC700,B  ,0,6,G
1,S,2014,BC700,C  ,0,6,G
1,S,2014,BC700,D  ,0,6,G
1,S,2014,BD101,A  ,0,52,G
1,S,2014,BD101,A  ,0,53,G
1,S,2014,BD101,A  ,0,54,G
1,S,2014,BD101,A  ,0,55,G
1,S,2014,BD101,B  ,0,52,G
