Catalogo,Curso,NivelCurso,Habilitacao,PeriodoSugestao,TipoPeriodoSugestao,No.CreditosCursar,Disciplina,NivelDisciplina
2008,1,G,AA,1,S,0,F 128,G
2008,1,G,AA,1,S,0,F 129,G
2008,1,G,AA,1,S,0,FM003,G
2008,1,G,AA,1,S,0,MA111,G
2008,1,G,AA,1,S,0,MA141,G
2008,1,G,AA,1,S,0,MS149,G
2008,1,G,AA,2,S,0,F 228,G
2008,1,G,AA,2,S,0,F 229,G
2008,1,G,AA,2,S,0,MA211,G
2008,1,G,AA,2,S,0,MA327,G
2008,1,G,AA,2,S,0,MC102,G
2008,1,G,AA,3,S,0,F 328,G
2008,1,G,AA,3,S,0,F 329,G
2008,1,G,AA,3,S,0,MA311,G
2008,1,G,AA,3,S,0,ME210,G
2008,1,G,AA,3,S,0,MS211,G
2008,1,G,AA,4,S,0,MA044,G
2008,1,G,AA,4,S,0,MA502,G
2008,1,G,AA,4,S,0,MA553,G
2008,1,G,AA,4,S,0,MA719,G
2008,1,G,AA,5,S,0,MA446,G
2008,1,G,AA,5,S,0,MA602,G
2008,1,G,AA,5,S,0,MA720,G
2008,1,G,AA,6,S,0,MA419,G
2008,1,G,AA,6,S,0,MA445,G
2008,1,G,AA,6,S,0,MA604,G
2008,1,G,AA,7,S,0,04 E ,
2008,1,G,AA,7,S,0,MA453,G
2008,1,G,AA,7,S,0,MA456,G
2008,1,G,AA,8,S,0,04 E ,
2008,1,G,AA,8,S,0,MA449,G
2008,1,G,AA,8,S,0,MA852,G
2008,1,G,AB,1,S,0,F 128,G
2008,1,G,AB,1,S,0,F 129,G
2008,1,G,AB,1,S,0,FM003,G
2008,1,G,AB,1,S,0,MA111,G
2008,1,G,AB,1,S,0,MA141,G
2008,1,G,AB,1,S,0,MS149,G
2008,1,G,AB,2,S,0,02 E ,
2008,1,G,AB,2,S,0,EL284,G
2008,1,G,AB,2,S,0,EL285,G
2008,1,G,AB,2,S,0,F 228,G
2008,1,G,AB,2,S,0,F 229,G
2008,1,G,AB,2,S,0,MA211,G
2008,1,G,AB,2,S,0,MA327,G
2008,1,G,AB,3,S,0,02 E ,
2008,1,G,AB,3,S,0,EL683,G
2008,1,G,AB,3,S,0,F 328,G
2008,1,G,AB,3,S,0,F 329,G
2008,1,G,AB,3,S,0,MA311,G
2008,1,G,AB,3,S,0,MA520,G
2008,1,G,AB,3,S,0,ME210,G
2008,1,G,AB,4,S,0,02 E ,
2008,1,G,AB,4,S,0,EL211,G
2008,1,G,AB,4,S,0,F 428,G
2008,1,G,AB,4,S,0,MA044,G
2008,1,G,AB,4,S,0,MA770,G
2008,1,G,AB,4,S,0,MC102,G
2008,1,G,AB,5,S,0,10 E ,
2008,1,G,AB,5,S,0,EL511,G
2008,1,G,AB,5,S,0,MA901,G
2008,1,G,AB,5,S,0,MS211,G
2008,1,G,AB,6,S,0,10 E ,
2008,1,G,AB,6,S,0,EL684,G
2008,1,G,AB,6,S,0,MA224,G
2008,1,G,AB,6,S,0,MA502,G
2008,1,G,AB,6,S,0,MA553,G
2008,1,G,AB,7,S,0,12 E ,
2008,1,G,AB,7,S,0,EL774,G
2008,1,G,AB,7,S,0,MA673,G
2008,1,G,AB,8,S,0,08 E ,
2008,1,G,AB,8,S,0,EL874,G
2008,1,G,AB,8,S,0,EL883,G
2008,2,G,  ,1,S,0,MA111,G
2008,2,G,  ,1,S,0,MA141,G
2008,2,G,  ,1,S,0,ME100,G
2008,2,G,  ,1,S,0,ME110,G
2008,2,G,  ,1,S,0,ME111,G
2008,2,G,  ,2,S,0,LA122,G
2008,2,G,  ,2,S,0,MA211,G
2008,2,G,  ,2,S,0,MA327,G
2008,2,G,  ,2,S,0,MC102,G
2008,2,G,  ,2,S,0,ME210,G
2008,2,G,  ,3,S,0,LA222,G
2008,2,G,  ,3,S,0,MA311,G
2008,2,G,  ,3,S,0,ME310,G
2008,2,G,  ,3,S,0,ME320,G
2008,2,G,  ,3,S,0,MS211,G
2008,2,G,  ,4,S,0,04 E ,
2008,2,G,  ,4,S,0,ME420,G
2008,2,G,  ,4,S,0,ME430,G
2008,2,G,  ,4,S,0,ME501,G
2008,2,G,  ,4,S,0,MS512,G
2008,2,G,  ,5,S,0,08 E ,
2008,2,G,  ,5,S,0,ME524,G
2008,2,G,  ,5,S,0,ME613,G
2008,2,G,  ,5,S,0,ME623,G
2008,2,G,  ,6,S,0,08 E ,
2008,2,G,  ,6,S,0,ME607,G
2008,2,G,  ,6,S,0,ME610,G
2008,2,G,  ,6,S,0,ME731,G
2008,2,G,  ,7,S,0,12 E ,
2008,2,G,  ,7,S,0,ME710,G
2008,2,G,  ,7,S,0,ME714,G
2008,2,G,  ,8,S,0,04 E ,
2008,2,G,  ,8,S,0,ME810,G
2008,4,G,AA,1,S,0,F 128,G
2008,4,G,AA,1,S,0,F 129,G
2008,4,G,AA,1,S,0,FM003,G
2008,4,G,AA,1,S,0,MA111,G
2008,4,G,AA,1,S,0,MA141,G
2008,4,G,AA,1,S,0,MS149,G
2008,4,G,AA,2,S,0,F 228,G
2008,4,G,AA,2,S,0,F 229,G
2008,4,G,AA,2,S,0,MA211,G
2008,4,G,AA,2,S,0,MA327,G
2008,4,G,AA,2,S,0,MC102,G
2008,4,G,AA,3,S,0,F 328,G
2008,4,G,AA,3,S,0,F 329,G
2008,4,G,AA,3,S,0,MA311,G
2008,4,G,AA,3,S,0,ME210,G
2008,4,G,AA,3,S,0,MS211,G
